Scientific_Name,Common_Name,name,label,Indicator_Status
Lepidium densiflorum,Miner's Pepperwort,Lepidium densiflorum,Lepidium densiflorum - Miner's Pepperwort,FAC
Lepidium latifolium,Broad-Leaf Pepperwort,Lepidium latifolium,Lepidium latifolium - Broad Leaf Pepperwort,FACW
Lepidium nitidum,Shining Pepperwort,Lepidium nitidum,Lepidium nitidum - Shining Pepperwort,FAC
Lepidium perfoliatum,Clasping Pepperwort,Lepidium perfoliatum,Lepidium perfoliatum - Clasping Pepperwort,FAC
Lepidium thurberi,Thurber's Pepperwort,Lepidium thurberi,Lepidium thurberi - Thurber's Pepperwort,UPL
Lepidium virginicum,Poorman's-Pepperwort,Lepidium virginicum,Lepidium virginicum - Poorman's Pepperwort,FACU
Leptochloa crinita,False Rhodes Grass,Leptochloa crinita,Leptochloa crinita - False Rhodes Grass,FACU
Leptochloa virgata,Tropical Sprangletop,Leptochloa virgata,Leptochloa virgata - Tropical Sprangletop,FAC
Leptosiphon nuttallii,Nuttall's Perennial Gily-Flower,Leptosiphon nuttallii,Leptosiphon nuttallii - Nuttall's Perennial Gily Flower,FAC
Lepuropetalon spathulatum,Petiteplant,Lepuropetalon spathulatum,Lepuropetalon spathulatum - Petiteplant,FACW
Lespedeza capitata,Round-Head Bush-Clover,Lespedeza capitata,Lespedeza capitata - Round Head Bush Clover,UPL
Lespedeza cuneata,Chinese Bush-Clover,Lespedeza cuneata,Lespedeza cuneata - Chinese Bush Clover,FACU
Leucaena leucocephala,White Leadtree,Leucaena leucocephala,Leucaena leucocephala - White Leadtree,FACU
Leucanthemum vulgare,Ox-Eye Daisy,Leucanthemum vulgare,Leucanthemum vulgare - Ox Eye Daisy,UPL
Leucospora multifida,Narrow-Leaf Paleseed,Leucospora multifida,Leucospora multifida - Narrow Leaf Paleseed,FACW
Lewisia pygmaea,Alpine Bitter-Root,Lewisia pygmaea,Lewisia pygmaea - Alpine Bitter Root,FACU
Leymus cinereus,Great Basin Lyme Grass,Leymus cinereus,Leymus cinereus - Great Basin Lyme Grass,UPL
Leymus condensatus,Giant Lyme Grass,Leymus condensatus,Leymus condensatus - Giant Lyme Grass,FACU
Leymus triticoides,Beardless Lyme Grass,Leymus triticoides,Leymus triticoides - Beardless Lyme Grass,FAC
Liatris acidota,Sharp Gayfeather,Liatris acidota,Liatris acidota - Sharp Gayfeather,FAC
Liatris lancifolia,Lance-Leaf Gayfeather,Liatris lancifolia,Liatris lancifolia - Lance Leaf Gayfeather,FAC
Liatris ligulistylis,Strap-Style Gayfeather,Liatris ligulistylis,Liatris ligulistylis - Strap Style Gayfeather,FAC
Liatris pycnostachya,Cat-Tail Gayfeather,Liatris pycnostachya,Liatris pycnostachya - Cat Tail Gayfeather,FAC
Ligusticum porteri,Porter's Wild Lovage,Ligusticum porteri,Ligusticum porteri - Porter's Wild Lovage,FAC
Ligusticum tenuifolium,Slender-Leaf Wild Lovage,Ligusticum tenuifolium,Ligusticum tenuifolium - Slender Leaf Wild Lovage,FAC
Ligustrum japonicum,Japanese Privet,Ligustrum japonicum,Ligustrum japonicum - Japanese Privet,UPL
Ligustrum lucidum,Glossy Privet,Ligustrum lucidum,Ligustrum lucidum - Glossy Privet,FACU
Ligustrum sinense,Chinese Privet,Ligustrum sinense,Ligustrum sinense - Chinese Privet,UPL
Ligustrum vulgare,European Privet,Ligustrum vulgare,Ligustrum vulgare - European Privet,FACU
Lilium michiganense,Michigan Lily,Lilium michiganense,Lilium michiganense - Michigan Lily,FACW
Lilium philadelphicum,Wood Lily,Lilium philadelphicum,Lilium philadelphicum - Wood Lily,FACU
Limnobium spongia,American Spongeplant,Limnobium spongia,Limnobium spongia - American Spongeplant,OBL
Limnophila sessiliflora,Asian Marshweed,Limnophila sessiliflora,Limnophila sessiliflora - Asian Marshweed,OBL
Limnosciadium pinnatum,Tansy Dogshade,Limnosciadium pinnatum,Limnosciadium pinnatum - Tansy Dogshade,FACW
Limnosciadium pumilum,Prairie Dogshade,Limnosciadium pumilum,Limnosciadium pumilum - Prairie Dogshade,FACW
Limonium carolinianum,Carolina Sea-Lavender,Limonium carolinianum,Limonium carolinianum - Carolina Sea Lavender,OBL
Limonium limbatum,Trans-Pecos Sea-Lavender,Limonium limbatum,Limonium limbatum - Trans Pecos Sea Lavender,FACW
Limosella acaulis,Owyhee Mudwort,Limosella acaulis,Limosella acaulis - Owyhee Mudwort,OBL
Limosella aquatica,Awl-Leaf Mudwort,Limosella aquatica,Limosella aquatica - Awl Leaf Mudwort,OBL
Lindera benzoin,Northern Spicebush,Lindera benzoin,Lindera benzoin - Northern Spicebush,FACW
Lindernia dubia,Yellow-Seed False Pimpernel,Lindernia dubia,Lindernia dubia - Yellow Seed False Pimpernel,OBL
Linnaea borealis,American Twinflower,Linnaea borealis,Linnaea borealis - American Twinflower,FACU
Linum medium,Stiff Yellow Flax,Linum medium,Linum medium - Stiff Yellow Flax,FAC
Linum striatum,Ridged Yellow Flax,Linum striatum,Linum striatum - Ridged Yellow Flax,FACW
Linum virginianum,Woodland Flax,Linum virginianum,Linum virginianum - Woodland Flax,FAC
Liparis loeselii,Yellow Wide-Lip Orchid,Liparis loeselii,Liparis loeselii - Yellow Wide Lip Orchid,OBL
Lipocarpha aristulata,Awned Halfchaff Sedge,Lipocarpha aristulata,Lipocarpha aristulata - Awned Halfchaff Sedge,FACW
Lipocarpha drummondii,Drummond's Halfchaff Sedge,Lipocarpha drummondii,Lipocarpha drummondii - Drummond's Halfchaff Sedge,FACW
Lipocarpha micrantha,Small-Flower Halfchaff Sedge,Lipocarpha micrantha,Lipocarpha micrantha - Small Flower Halfchaff Sedge,FACW
Lippia alba,Bushy Mat-Grass,Lippia alba,Lippia alba - Bushy Mat Grass,FAC
Liquidambar styraciflua,Sweet-Gum,Liquidambar styraciflua,Liquidambar styraciflua - Sweet Gum,FAC
Liriodendron tulipifera,Tuliptree,Liriodendron tulipifera,Liriodendron tulipifera - Tuliptree,FACU
Lloydia serotina,Common Alp-Lily,Lloydia serotina,Lloydia serotina - Common Alp Lily,FACU
Lobelia anatina,Apache Lobelia,Lobelia anatina,Lobelia anatina - Apache Lobelia,FACW
Lobelia appendiculata,Pale Lobelia,Lobelia appendiculata,Lobelia appendiculata - Pale Lobelia,FAC
Lobelia berlandieri,Berlandier's Lobelia,Lobelia berlandieri,Lobelia berlandieri - Berlandier's Lobelia,FAC
Lobelia cardinalis,Cardinal-Flower,Lobelia cardinalis,Lobelia cardinalis - Cardinal Flower,FACW
Lobelia fenestralis,Fringe-Leaf Lobelia,Lobelia fenestralis,Lobelia fenestralis - Fringe Leaf Lobelia,FAC
Lobelia flaccidifolia,Fold-Ear Lobelia,Lobelia flaccidifolia,Lobelia flaccidifolia - Fold Ear Lobelia,FACW
Lobelia inflata,Indian-Tobacco,Lobelia inflata,Lobelia inflata - Indian Tobacco,FAC
Lobelia kalmii,Brook Lobelia,Lobelia kalmii,Lobelia kalmii - Brook Lobelia,OBL
Lobelia puberula,Downy Lobelia,Lobelia puberula,Lobelia puberula - Downy Lobelia,FACW
Lobelia siphilitica,Great Blue Lobelia,Lobelia siphilitica,Lobelia siphilitica - Great Blue Lobelia,OBL
Lobelia spicata,Pale-Spike Lobelia,Lobelia spicata,Lobelia spicata - Pale Spike Lobelia,FAC
Lolium perenne,Perennial Rye Grass,Lolium perenne,Lolium perenne - Perennial Rye Grass,FACU
Lomatium bicolor,Wasatch Desert-Parsley,Lomatium bicolor,Lomatium bicolor - Wasatch Desert Parsley,UPL
Lomatogonium rotatum,Marsh-Felwort,Lomatogonium rotatum,Lomatogonium rotatum - Marsh Felwort,OBL
Lonicera canadensis,American Fly-Honeysuckle,Lonicera canadensis,Lonicera canadensis - American Fly Honeysuckle,FACU
Lonicera cauriana,Sweet-Berry Honeysuckle,Lonicera cauriana,Lonicera cauriana - Sweet Berry Honeysuckle,FAC
Lonicera dioica,Limber Honeysuckle,Lonicera dioica,Lonicera dioica - Limber Honeysuckle,FACU
Lonicera hirsuta,Hairy Honeysuckle,Lonicera hirsuta,Lonicera hirsuta - Hairy Honeysuckle,FAC
Lonicera involucrata,Four-Line Honeysuckle,Lonicera involucrata,Lonicera involucrata - Four Line Honeysuckle,FACU
Lonicera japonica,Japanese Honeysuckle,Lonicera japonica,Lonicera japonica - Japanese Honeysuckle,FACU
Lonicera morrowii,Morrow's Honeysuckle,Lonicera morrowii,Lonicera morrowii - Morrow's Honeysuckle,UPL
Lonicera oblongifolia,Swamp Fly-Honeysuckle,Lonicera oblongifolia,Lonicera oblongifolia - Swamp Fly Honeysuckle,OBL
Lonicera sempervirens,Trumpet Honeysuckle,Lonicera sempervirens,Lonicera sempervirens - Trumpet Honeysuckle,FAC
Lonicera tatarica,Twinsisters,Lonicera tatarica,Lonicera tatarica - Twinsisters,FACU
Lonicera utahensis,Rocky Mountain Honeysuckle,Lonicera utahensis,Lonicera utahensis - Rocky Mountain Honeysuckle,FACU
Lonicera villosa,Mountain Fly-Honeysuckle,Lonicera villosa,Lonicera villosa - Mountain Fly Honeysuckle,FACW
Lonicera X bella,,Lonicera X bella,Lonicera X bella,FACU
Lotus corniculatus,Garden Bird's-Foot-Trefoil,Lotus corniculatus,Lotus corniculatus - Garden Bird's Foot Trefoil,FACU
Lotus tenuis,Narrow-Leaf Bird's-Foot-Trefoil,Lotus tenuis,Lotus tenuis - Narrow Leaf Bird's Foot Trefoil,FACU
Ludwigia alternifolia,Seedbox,Ludwigia alternifolia,Ludwigia alternifolia - Seedbox,OBL
Ludwigia decurrens,Wing-Leaf Primrose-Willow,Ludwigia decurrens,Ludwigia decurrens - Wing Leaf Primrose Willow,OBL
Ludwigia glandulosa,Cylindric-Fruit Primrose-Willow,Ludwigia glandulosa,Ludwigia glandulosa - Cylindric Fruit Primrose Willow,OBL
Ludwigia grandiflora,Large-Flower Primrose-Willow,Ludwigia grandiflora,Ludwigia grandiflora - Large Flower Primrose Willow,OBL
Ludwigia hirtella,Spindleroot,Ludwigia hirtella,Ludwigia hirtella - Spindleroot,OBL
Ludwigia leptocarpa,Angle-Stem Primrose-Willow,Ludwigia leptocarpa,Ludwigia leptocarpa - Angle Stem Primrose Willow,OBL
Ludwigia linearis,Narrow-Leaf Primrose-Willow,Ludwigia linearis,Ludwigia linearis - Narrow Leaf Primrose Willow,OBL
Ludwigia octovalvis,Mexican Primrose-Willow,Ludwigia octovalvis,Ludwigia octovalvis - Mexican Primrose Willow,OBL
Ludwigia palustris,Marsh Primrose-Willow,Ludwigia palustris,Ludwigia palustris - Marsh Primrose Willow,OBL
Ludwigia peploides,Floating Primrose-Willow,Ludwigia peploides,Ludwigia peploides - Floating Primrose Willow,OBL
Ludwigia peruviana,Peruvian Primrose-Willow,Ludwigia peruviana,Ludwigia peruviana - Peruvian Primrose Willow,OBL
Ludwigia pilosa,Hairy Primrose-Willow,Ludwigia pilosa,Ludwigia pilosa - Hairy Primrose Willow,OBL
Ludwigia polycarpa,Many-Fruit Primrose-Willow,Ludwigia polycarpa,Ludwigia polycarpa - Many Fruit Primrose Willow,OBL
Ludwigia repens,Creeping Primrose-Willow,Ludwigia repens,Ludwigia repens - Creeping Primrose Willow,OBL
Ludwigia sphaerocarpa,Globe-Fruit Primrose-Willow,Ludwigia sphaerocarpa,Ludwigia sphaerocarpa - Globe Fruit Primrose Willow,OBL
Lupinus kingii,King's Lupine,Lupinus kingii,Lupinus kingii - King's Lupine,FAC
Lupinus latifolius,Broad-Leaf Lupine,Lupinus latifolius,Lupinus latifolius - Broad Leaf Lupine,FAC
Lupinus prunophilus,Hairy Big-Leaf Lupine,Lupinus prunophilus,Lupinus prunophilus - Hairy Big Leaf Lupine,FACU
Luziola fluitans,Southern Water Grass,Luziola fluitans,Luziola fluitans - Southern Water Grass,OBL
Luzula acuminata,Hairy Wood-Rush,Luzula acuminata,Luzula acuminata - Hairy Wood Rush,FAC
Luzula arcuata,Curved Wood-Rush,Luzula arcuata,Luzula arcuata - Curved Wood Rush,FACU
Luzula bulbosa,Bulbous Wood-Rush,Luzula bulbosa,Luzula bulbosa - Bulbous Wood Rush,FACU
Luzula comosa,Pacific Wood-Rush,Luzula comosa,Luzula comosa - Pacific Wood Rush,FAC
Luzula echinata,Hedgehog Wood-Rush,Luzula echinata,Luzula echinata - Hedgehog Wood Rush,FAC
Luzula multiflora,Common Wood-Rush,Luzula multiflora,Luzula multiflora - Common Wood Rush,FAC
Luzula parviflora,Small-Flower Wood-Rush,Luzula parviflora,Luzula parviflora - Small Flower Wood Rush,UPL
Luzula spicata,Spiked Wood-Rush,Luzula spicata,Luzula spicata - Spiked Wood Rush,FACU
Luzula subcapitata,Colorado Wood-Rush,Luzula subcapitata,Luzula subcapitata - Colorado Wood Rush,OBL
Lycium carolinianum,Carolina Desert-Thorn,Lycium carolinianum,Lycium carolinianum - Carolina Desert Thorn,FACW
Lycium torreyi,Squawthorn,Lycium torreyi,Lycium torreyi - Squawthorn,FAC
Lycopodiella alopecuroides,Fox-Tail Club-Moss,Lycopodiella alopecuroides,Lycopodiella alopecuroides - Fox Tail Club Moss,OBL
Lycopodiella appressa,Southern Appressed Club-Moss,Lycopodiella appressa,Lycopodiella appressa - Southern Appressed Club Moss,OBL
Lycopodiella prostrata,Feather-Stem Club-Moss,Lycopodiella prostrata,Lycopodiella prostrata - Feather Stem Club Moss,OBL
Lycopus americanus,Cut-Leaf Water-Horehound,Lycopus americanus,Lycopus americanus - Cut Leaf Water Horehound,OBL
Lycopus asper,Rough Water-Horehound,Lycopus asper,Lycopus asper - Rough Water Horehound,OBL
Lycopus rubellus,Taper-Leaf Water-Horehound,Lycopus rubellus,Lycopus rubellus - Taper Leaf Water Horehound,OBL
Lycopus uniflorus,Northern Water-Horehound,Lycopus uniflorus,Lycopus uniflorus - Northern Water Horehound,OBL
Lycopus virginicus,Virginia Water-Horehound,Lycopus virginicus,Lycopus virginicus - Virginia Water Horehound,OBL
Lycopus X sherardii,,Lycopus X sherardii,Lycopus X sherardii,OBL
Lygodium japonicum,Japanese Climbing Fern,Lygodium japonicum,Lygodium japonicum - Japanese Climbing Fern,FACW
Lyonia ligustrina,Maleberry,Lyonia ligustrina,Lyonia ligustrina - Maleberry,FACW
Lyonia mariana,Piedmont Staggerbush,Lyonia mariana,Lyonia mariana - Piedmont Staggerbush,FAC
Lysimachia arvensis,Scarlet Yellow-Loosestrife,Lysimachia arvensis,Lysimachia arvensis - Scarlet Yellow Loosestrife,FACU
Lysimachia ciliata,Fringed Yellow-Loosestrife,Lysimachia ciliata,Lysimachia ciliata - Fringed Yellow Loosestrife,FACW
Lysimachia hybrida,Lowland Yellow-Loosestrife,Lysimachia hybrida,Lysimachia hybrida - Lowland Yellow Loosestrife,OBL
Lysimachia lanceolata,Lance-Leaf Yellow-Loosestrife,Lysimachia lanceolata,Lysimachia lanceolata - Lance Leaf Yellow Loosestrife,FAC
Lysimachia maritima,Sea-Milkwort,Lysimachia maritima,Lysimachia maritima - Sea Milkwort,OBL
Lysimachia minima,Chaffweed,Lysimachia minima,Lysimachia minima - Chaffweed,FACW
Lysimachia nummularia,Creeping-Jenny,Lysimachia nummularia,Lysimachia nummularia - Creeping Jenny,FACW
Lysimachia quadriflora,Four-Flower Yellow-Loosestrife,Lysimachia quadriflora,Lysimachia quadriflora - Four Flower Yellow Loosestrife,FACW
Lysimachia radicans,Trailing Yellow-Loosestrife,Lysimachia radicans,Lysimachia radicans - Trailing Yellow Loosestrife,FACW
Lysimachia terrestris,Swampcandles,Lysimachia terrestris,Lysimachia terrestris - Swampcandles,OBL
Lysimachia thyrsiflora,Tufted Yellow-Loosestrife,Lysimachia thyrsiflora,Lysimachia thyrsiflora - Tufted Yellow Loosestrife,OBL
Lythrum alatum,Wing-Angle Loosestrife,Lythrum alatum,Lythrum alatum - Wing Angle Loosestrife,OBL
Lythrum californicum,California Loosestrife,Lythrum californicum,Lythrum californicum - California Loosestrife,OBL
Lythrum ovalifolium,Low Loosestrife,Lythrum ovalifolium,Lythrum ovalifolium - Low Loosestrife,FACW
Lythrum salicaria,Purple Loosestrife,Lythrum salicaria,Lythrum salicaria - Purple Loosestrife,OBL
Maclura pomifera,Osage-Orange,Maclura pomifera,Maclura pomifera - Osage Orange,FACU
Macroptilium atropurpureum,Purple Bush-Bean,Macroptilium atropurpureum,Macroptilium atropurpureum - Purple Bush Bean,FACU
Madia glomerata,Mountain Tarplant,Madia glomerata,Madia glomerata - Mountain Tarplant,FACU
Magnolia acuminata,Cucumber-Tree,Magnolia acuminata,Magnolia acuminata - Cucumber Tree,FACU
Magnolia grandiflora,Southern Magnolia,Magnolia grandiflora,Magnolia grandiflora - Southern Magnolia,FAC
Magnolia tripetala,Umbrella Magnolia,Magnolia tripetala,Magnolia tripetala - Umbrella Magnolia,FAC
Magnolia virginiana,Sweet-Bay,Magnolia virginiana,Magnolia virginiana - Sweet Bay,OBL
Mahonia aquifolium,Holly-Leaf Oregon-Grape,Mahonia aquifolium,Mahonia aquifolium - Holly Leaf Oregon Grape,UPL
Maianthemum canadense,False Lily-of-the-Valley,Maianthemum canadense,Maianthemum canadense - False Lily of the Valley,FACU
Maianthemum racemosum,Feathery False Solomon's-Seal,Maianthemum racemosum,Maianthemum racemosum - Feathery False Solomon's Seal,FAC
Maianthemum stellatum,Starry False Solomon's-Seal,Maianthemum stellatum,Maianthemum stellatum - Starry False Solomon's Seal,FACU
Maianthemum trifolium,Three-Leaf False Solomon's-Seal,Maianthemum trifolium,Maianthemum trifolium - Three Leaf False Solomon's Seal,OBL
Malachra capitata,Malva-de-Caballo,Malachra capitata,Malachra capitata - Malva de Caballo,FACU
Malaxis monophyllos,White Adder's-Mouth Orchid,Malaxis monophyllos,Malaxis monophyllos - White Adder's Mouth Orchid,FACW
Malaxis unifolia,Green Adder's-Mouth Orchid,Malaxis unifolia,Malaxis unifolia - Green Adder's Mouth Orchid,FAC
Malvastrum coromandelianum,Three-Lobe False Mallow,Malvastrum coromandelianum,Malvastrum coromandelianum - Three Lobe False Mallow,FAC
Malvaviscus arboreus,Wax-Mallow,Malvaviscus arboreus,Malvaviscus arboreus - Wax Mallow,UPL
Malvaviscus penduliflorus,Mazapan,Malvaviscus penduliflorus,Malvaviscus penduliflorus - Mazapan,FAC
Malvella leprosa,Alkali-Mallow,Malvella leprosa,Malvella leprosa - Alkali Mallow,FAC
Marrubium vulgare,White Horehound,Marrubium vulgare,Marrubium vulgare - White Horehound,FACU
Marshallia caespitosa,Puffballs,Marshallia caespitosa,Marshallia caespitosa - Puffballs,FAC
Marshallia graminifolia,Grass-Leaf Barbara's-Buttons,Marshallia graminifolia,Marshallia graminifolia - Grass Leaf Barbara's Buttons,OBL
Marsilea macropoda,Big-Foot Water-Clover,Marsilea macropoda,Marsilea macropoda - Big Foot Water Clover,OBL
Marsilea mutica,Australian Water-Clover,Marsilea mutica,Marsilea mutica - Australian Water Clover,OBL
Marsilea vestita,Hairy Water-Clover,Marsilea vestita,Marsilea vestita - Hairy Water Clover,OBL
Matricaria discoidea,Pineapple-Weed,Matricaria discoidea,Matricaria discoidea - Pineapple Weed,FACU
Matteuccia struthiopteris,Ostrich Fern,Matteuccia struthiopteris,Matteuccia struthiopteris - Ostrich Fern,FACW
Mayaca fluviatilis,Stream Bog-Moss,Mayaca fluviatilis,Mayaca fluviatilis - Stream Bog Moss,OBL
Maytenus phyllanthoides,Florida Mayten,Maytenus phyllanthoides,Maytenus phyllanthoides - Florida Mayten,FAC
Mazus pumilus,Japanese Mazus,Mazus pumilus,Mazus pumilus - Japanese Mazus,FAC
Mecardonia acuminata,Axil-Flower,Mecardonia acuminata,Mecardonia acuminata - Axil Flower,FACW
Mecardonia procumbens,Baby-Jump-Up,Mecardonia procumbens,Mecardonia procumbens - Baby Jump Up,FACW
Medicago lupulina,Black Medick,Medicago lupulina,Medicago lupulina - Black Medick,FACU
Medicago polymorpha,Toothed Medick,Medicago polymorpha,Medicago polymorpha - Toothed Medick,FACU
Medicago sativa,Alfalfa,Medicago sativa,Medicago sativa - Alfalfa,UPL
Megathyrsus maximus,Guinea Grass,Megathyrsus maximus,Megathyrsus maximus - Guinea Grass,FAC
Melia azedarach,China-Berry,Melia azedarach,Melia azedarach - China Berry,FACU
Melilotus indicus,Indian Sweet-Clover,Melilotus indicus,Melilotus indicus - Indian Sweet Clover,FACU
Melilotus officinalis,Yellow Sweet-Clover,Melilotus officinalis,Melilotus officinalis - Yellow Sweet Clover,FACU
Melinis repens,Creeping Molasses Grass,Melinis repens,Melinis repens - Creeping Molasses Grass,UPL
Melissa officinalis,Lemonbalm,Melissa officinalis,Melissa officinalis - Lemonbalm,UPL
Melochia corchorifolia,Chocolate-Weed,Melochia corchorifolia,Melochia corchorifolia - Chocolate Weed,FAC
Melochia pyramidata,Pyramid-Flower,Melochia pyramidata,Melochia pyramidata - Pyramid Flower,FAC
Melothria pendula,Guadeloupe-Cucumber,Melothria pendula,Melothria pendula - Guadeloupe Cucumber,FAC
Menispermum canadense,Canadian Moonseed,Menispermum canadense,Menispermum canadense - Canadian Moonseed,FACU
Mentha aquatica,Water Mint,Mentha aquatica,Mentha aquatica - Water Mint,FACW
Mentha arvensis,American Wild Mint,Mentha arvensis,Mentha arvensis - American Wild Mint,FACW
Mentha spicata,Spearmint,Mentha spicata,Mentha spicata - Spearmint,FACW
Mentha suaveolens,Apple Mint,Mentha suaveolens,Mentha suaveolens - Apple Mint,FACW
Mentha X gracilis,,Mentha X gracilis,Mentha X gracilis,OBL
Mentha X piperita,,Mentha X piperita,Mentha X piperita,FACW
Mentha X rotundifolia,,Mentha X rotundifolia,Mentha X rotundifolia,FAC
Menyanthes trifoliata,Buck-Bean,Menyanthes trifoliata,Menyanthes trifoliata - Buck Bean,OBL
Merremia dissecta,Noyau-Vine,Merremia dissecta,Merremia dissecta - Noyau Vine,FAC
Mertensia ciliata,Tall Fringe Bluebells,Mertensia ciliata,Mertensia ciliata - Tall Fringe Bluebells,FACW
Mertensia franciscana,Franciscan Bluebells,Mertensia franciscana,Mertensia franciscana - Franciscan Bluebells,FACW
Mertensia oblongifolia,Languid-Lady,Mertensia oblongifolia,Mertensia oblongifolia - Languid Lady,FAC
Mertensia paniculata,Tall Bluebells,Mertensia paniculata,Mertensia paniculata - Tall Bluebells,FAC
Mertensia viridis,Green Bluebells,Mertensia viridis,Mertensia viridis - Green Bluebells,UPL
Micranthemum umbrosum,Shade Mudflower,Micranthemum umbrosum,Micranthemum umbrosum - Shade Mudflower,OBL
Micranthes ferruginea,Russet-Hair Pseudosaxifrage,Micranthes ferruginea,Micranthes ferruginea - Russet Hair Pseudosaxifrage,OBL
Micranthes lyallii,Red-Stem Pseudosaxifrage,Micranthes lyallii,Micranthes lyallii - Red Stem Pseudosaxifrage,OBL
Micranthes nidifica,Peak Pseudosaxifrage,Micranthes nidifica,Micranthes nidifica - Peak Pseudosaxifrage,FAC
Micranthes occidentalis,Mountain Pseudosaxifrage,Micranthes occidentalis,Micranthes occidentalis - Mountain Pseudosaxifrage,FAC
Micranthes odontoloma,Streambank Pseudosaxifrage,Micranthes odontoloma,Micranthes odontoloma - Streambank Pseudosaxifrage,FACW
Micranthes oregana,Bog Pseudosaxifrage,Micranthes oregana,Micranthes oregana - Bog Pseudosaxifrage,OBL
Micranthes palmeri,Palmer's Pseudosaxifrage,Micranthes palmeri,Micranthes palmeri - Palmer's Pseudosaxifrage,FAC
Micranthes pensylvanica,Eastern Swamp Pseudosaxifrage,Micranthes pensylvanica,Micranthes pensylvanica - Eastern Swamp Pseudosaxifrage,FACW
Micranthes rhomboidea,Diamond-Leaf Pseudosaxifrage,Micranthes rhomboidea,Micranthes rhomboidea - Diamond Leaf Pseudosaxifrage,FAC
Micranthes texana,Texas Pseudosaxifrage,Micranthes texana,Micranthes texana - Texas Pseudosaxifrage,FACW
Microstegium vimineum,Japanese Stilt Grass,Microstegium vimineum,Microstegium vimineum - Japanese Stilt Grass,FAC
Microsteris gracilis,Annual-Phlox,Microsteris gracilis,Microsteris gracilis - Annual Phlox,UPL
Mikania scandens,Climbing Hempvine,Mikania scandens,Mikania scandens - Climbing Hempvine,FACW
Milium effusum,American Millet Grass,Milium effusum,Milium effusum - American Millet Grass,FACU
Mimosa malacophylla,Soft-Leaf Mimosa,Mimosa malacophylla,Mimosa malacophylla - Soft Leaf Mimosa,FACW
Mimosa strigillosa,Powderpuff,Mimosa strigillosa,Mimosa strigillosa - Powderpuff,FAC
Mimulus alatus,Sharp-Wing Monkey-Flower,Mimulus alatus,Mimulus alatus - Sharp Wing Monkey Flower,OBL
Mimulus breviflorus,Short-Flower Monkey-Flower,Mimulus breviflorus,Mimulus breviflorus - Short Flower Monkey Flower,FACW
Mimulus floribundus,Purple-Stem Monkey-Flower,Mimulus floribundus,Mimulus floribundus - Purple Stem Monkey Flower,OBL
Mimulus glabratus,Round-Leaf Monkey-Flower,Mimulus glabratus,Mimulus glabratus - Round Leaf Monkey Flower,OBL
Mimulus guttatus,Seep Monkey-Flower,Mimulus guttatus,Mimulus guttatus - Seep Monkey Flower,OBL
Mimulus moschatus,Muskflower,Mimulus moschatus,Mimulus moschatus - Muskflower,OBL
Mimulus ringens,Allegheny Monkey-Flower,Mimulus ringens,Mimulus ringens - Allegheny Monkey Flower,OBL
Mimulus rubellus,Little Red-Stem Monkey-Flower,Mimulus rubellus,Mimulus rubellus - Little Red Stem Monkey Flower,FACW
Mimulus suksdorfii,Miniature Monkey-Flower,Mimulus suksdorfii,Mimulus suksdorfii - Miniature Monkey Flower,FACW
Mimulus tilingii,Subalpine Monkey-Flower,Mimulus tilingii,Mimulus tilingii - Subalpine Monkey Flower,OBL
Mimulus washingtonensis,Washington Monkey-Flower,Mimulus washingtonensis,Mimulus washingtonensis - Washington Monkey Flower,OBL
Minuartia muscorum,Dixie Stitchwort,Minuartia muscorum,Minuartia muscorum - Dixie Stitchwort,FACU
Minuartia obtusiloba,Alpine Stitchwort,Minuartia obtusiloba,Minuartia obtusiloba - Alpine Stitchwort,FACU
Minuartia patula,Pitcher's Stitchwort,Minuartia patula,Minuartia patula - Pitcher's Stitchwort,FAC
Minuartia rubella,Boreal Stitchwort,Minuartia rubella,Minuartia rubella - Boreal Stitchwort,FAC
Minuartia stricta,Bog Stitchwort,Minuartia stricta,Minuartia stricta - Bog Stitchwort,FAC
Mirabilis jalapa,Marvel-of-Peru,Mirabilis jalapa,Mirabilis jalapa - Marvel of Peru,UPL
Mirabilis nyctaginea,Heart-Leaf Four-O'clock,Mirabilis nyctaginea,Mirabilis nyctaginea - Heart Leaf Four O'clock,UPL
Miscanthus sinensis,Chinese Silver Grass,Miscanthus sinensis,Miscanthus sinensis - Chinese Silver Grass,FACU
Mitchella repens,Partridge-Berry,Mitchella repens,Mitchella repens - Partridge Berry,FAC
Mitella diphylla,Two-Leaf Bishop's-Cap,Mitella diphylla,Mitella diphylla - Two Leaf Bishop's Cap,FACU
Mitella nuda,Bare-Stem Bishop's-Cap,Mitella nuda,Mitella nuda - Bare Stem Bishop's Cap,OBL
Mitella stauropetala,Side-Flower Bishop's-Cap,Mitella stauropetala,Mitella stauropetala - Side Flower Bishop's Cap,FAC
Mitracarpus hirtus,Tropical Girdlepod,Mitracarpus hirtus,Mitracarpus hirtus - Tropical Girdlepod,FACU
Mitreola petiolata,Lax Hornpod,Mitreola petiolata,Mitreola petiolata - Lax Hornpod,FACW
Mitreola sessilifolia,Swamp Hornpod,Mitreola sessilifolia,Mitreola sessilifolia - Swamp Hornpod,FACW
Modiola caroliniana,Carolina Bristle-Mallow,Modiola caroliniana,Modiola caroliniana - Carolina Bristle Mallow,FAC
