Scientific_Name,Common_Name,name,label,Indicator_Status
Allophyllum gilioides,Dense False Gily-Flower,Allophyllum gilioides,Allophyllum gilioides - Dense False Gily-Flower,FAC
Almutaster pauciflorus,Marsh-Aster,Almutaster pauciflorus,Almutaster pauciflorus - Marsh-Aster,FACW
Alnus glutinosa,European Alder,Alnus glutinosa,Alnus glutinosa - European Alder,FACW
Alnus incana,Speckled Alder,Alnus incana,Alnus incana - Speckled Alder,FACW
Alnus oblongifolia,Arizona Alder,Alnus oblongifolia,Alnus oblongifolia - Arizona Alder,FACW
Alnus rhombifolia,White Alder,Alnus rhombifolia,Alnus rhombifolia - White Alder,FACW
Alnus rubra,Red Alder,Alnus rubra,Alnus rubra - Red Alder,FACW
Alnus viridis,Sitka Alder,Alnus viridis,Alnus viridis - Sitka Alder,FACW
Alocasia macrorrhizos,Giant Taro,Alocasia macrorrhizos,Alocasia macrorrhizos - Giant Taro,FACW
Alopecurus aequalis,Short-Awn Meadow-Foxtail,Alopecurus aequalis,Alopecurus aequalis - Short-Awn Meadow-Foxtail,OBL
Alopecurus arundinaceus,Creeping Meadow-Foxtail,Alopecurus arundinaceus,Alopecurus arundinaceus - Creeping Meadow-Foxtail,FAC
Alopecurus carolinianus,Tufted Meadow-Foxtail,Alopecurus carolinianus,Alopecurus carolinianus - Tufted Meadow-Foxtail,FACW
Alopecurus geniculatus,Marsh Meadow-Foxtail,Alopecurus geniculatus,Alopecurus geniculatus - Marsh Meadow-Foxtail,OBL
Alopecurus magellanicus,Alpine Meadow-Foxtail,Alopecurus magellanicus,Alopecurus magellanicus - Alpine Meadow-Foxtail,FACW
Alopecurus myosuroides,Slender Meadow-Foxtail,Alopecurus myosuroides,Alopecurus myosuroides - Slender Meadow-Foxtail,FACW
Alopecurus pratensis,Field Meadow-Foxtail,Alopecurus pratensis,Alopecurus pratensis - Field Meadow-Foxtail,FACW
Alopecurus saccatus,Pacific Meadow-Foxtail,Alopecurus saccatus,Alopecurus saccatus - Pacific Meadow-Foxtail,OBL
Alternanthera philoxeroides,Alligator-Weed,Alternanthera philoxeroides,Alternanthera philoxeroides - Alligator-Weed,OBL
Amaranthus acanthochiton,Greenstripe,Amaranthus acanthochiton,Amaranthus acanthochiton - Greenstripe,FACU
Amaranthus albus,Tumbleweed,Amaranthus albus,Amaranthus albus - Tumbleweed,FACU
Amaranthus arenicola,Sandhill Amaranth,Amaranthus arenicola,Amaranthus arenicola - Sandhill Amaranth,FACU
Amaranthus blitoides,Mat Amaranth,Amaranthus blitoides,Amaranthus blitoides - Mat Amaranth,FACU
Amaranthus blitum,Purple Amaranth,Amaranthus blitum,Amaranthus blitum - Purple Amaranth,FAC
Amaranthus californicus,California Amaranth,Amaranthus californicus,Amaranthus californicus - California Amaranth,FACW
Amaranthus crassipes,Spreading Amaranth,Amaranthus crassipes,Amaranthus crassipes - Spreading Amaranth,FAC
Amaranthus obcordatus,Trans-Pecos Amaranth,Amaranthus obcordatus,Amaranthus obcordatus - Trans-Pecos Amaranth,FACU
Amaranthus palmeri,Careless Weed,Amaranthus palmeri,Amaranthus palmeri - Careless Weed,FACU
Amaranthus retroflexus,Red-Root,Amaranthus retroflexus,Amaranthus retroflexus - Red-Root,FACU
Amaranthus spinosus,Spiny Amaranth,Amaranthus spinosus,Amaranthus spinosus - Spiny Amaranth,FACU
Amaranthus tuberculatus,Rough-Fruit Amaranth,Amaranthus tuberculatus,Amaranthus tuberculatus - Rough-Fruit Amaranth,FACW
Amaranthus viridis,Slender Amaranth,Amaranthus viridis,Amaranthus viridis - Slender Amaranth,FAC
